Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,URL,Exerpt,Image
10 cognitive biases to avoid in User Research (and how to avoid them),10-cognitive-biases-to-avoid-in-user-research-and-how-to-avoid-them,5bef6bc51faec76e89056e67,5bf0cd6881a3af35422f0a4a,Sun Nov 18 2018 02:24:40 GMT+0000 (Coordinated Universal Time),Sun Nov 18 2018 02:24:40 GMT+0000 (Coordinated Universal Time),Sun Nov 18 2018 02:24:40 GMT+0000 (Coordinated Universal Time),https://uxdesign.cc/10-cognitive-biases-to-avoid-in-user-research-and-how-to-avoid-them-993aa397c8c6,"Cognitive biases have become quite popular in mainstream culture in the last decade, thanks to books like Thinking Fast and Slow and Predictably Irrational. Along with human centered approaches, it has also gained quite a lot of prominence in Experience/Business design.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bf0cd6881a3af25272f0a49_1*Z_apHjPAlH4NB5v0WIxUEw.jpeg
8-Point Grid: Vertical Rhythm,8-point-grid-vertical-rhythm,5bef6bc51faec76e89056e67,61ef2a4668bfb6e6ce7e0c0a,Mon Jan 24 2022 22:37:58 GMT+0000 (Coordinated Universal Time),Mon Jan 24 2022 22:37:58 GMT+0000 (Coordinated Universal Time),Mon Jan 24 2022 22:37:58 GMT+0000 (Coordinated Universal Time),https://medium.com/built-to-adapt/8-point-grid-vertical-rhythm-90d05ad95032,The 8-point grid is a powerful system for creating consistent and visually appealing user interfaces (UIs). This post is about how to establish vertical rhythm and set typography in an 8pt grid system.,https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/61ef2a4668bfb65b317e0c03_1*sCh2dv4mhn-xqjWB3d4Tuw.jpeg
A Comprehensive Guide To Product Design,a-comprehensive-guide-to-product-design,5bef6bc51faec76e89056e67,5dc093b52d2908d59026582a,Mon Nov 04 2019 21:10:13 GMT+0000 (Coordinated Universal Time),Mon Nov 04 2019 21:10:13 GMT+0000 (Coordinated Universal Time),Mon Nov 04 2019 21:10:13 GMT+0000 (Coordinated Universal Time),https://www.smashingmagazine.com/2018/01/comprehensive-guide-product-design/,"(This is a sponsored article.) What is a product? Until recently, the term was used only in relation to something material and often found in a retail store. Nowadays, it is coming to mean digital products as well. Apps and websites are modern products.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5dc093b52d2908ab7c265803_guide-product-design-image26-opt.png
A Designer’s Guide to Working in Tech,a-designer-s-guide-to-working-in-tech,5bef6bc51faec76e89056e67,5d027418d35f4a44bf34c4db,Thu Jun 13 2019 16:04:40 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2019 16:04:40 GMT+0000 (Coordinated Universal Time),Thu Jun 13 2019 16:04:40 GMT+0000 (Coordinated Universal Time),https://www.designerfund.com/blog/designers-guide-working-tech/,"A shift in how we work Many of us who trained as graphic or industrial designers could never have envisioned a career in technology — and then suddenly, given the rare combination of timing, opportunity, and market, we find ourselves thrust into an industry that we’re not just new to but is also",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5d027418d35f4a84c034c4c7_designer-fund-final-4.jpeg
A guide to understanding what makes a typeface accessible,a-guide-to-understanding-what-makes-a-typeface-accessible,5bef6bc51faec76e89056e67,5f46842a4aefbafb45beec06,Wed Aug 26 2020 15:47:54 GMT+0000 (Coordinated Universal Time),Wed Aug 26 2020 15:47:54 GMT+0000 (Coordinated Universal Time),Wed Aug 26 2020 15:47:54 GMT+0000 (Coordinated Universal Time),https://uxdesign.cc/a-guide-to-understanding-what-makes-a-typeface-accessible-and-how-to-make-informed-decisions-9e5c0b9040a0,A guide to understanding what makes a typeface accessibleAnd how to make more informed design decisions.,https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5f46842a54b6e67dc3c8fc6d_0*9xUdP0r2WneEQn-I.png
A Muggle’s Guide to Product Design,a-muggle-s-guide-to-product-design,5bef6bc51faec76e89056e67,5bf3046ff653083b87a9b5ea,Mon Nov 19 2018 18:43:59 GMT+0000 (Coordinated Universal Time),Tue Nov 20 2018 04:02:19 GMT+0000 (Coordinated Universal Time),Tue Nov 20 2018 04:02:26 GMT+0000 (Coordinated Universal Time),https://uxdesign.cc/a-muggles-guide-to-product-design-a2c92eb2cb23,"What I’m about to share with you is neither profound nor true. But then again, things aren’t always what they seem.  Insights like these are normally reserved for witches and wizards, but just this once, I insist you be let in on our little secret.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bf387454414ed5fb438a0f8_1_xQs_Dim0NCzbb8BW4wNC5Q.png
A UX Career is a Business Career,a-ux-career-is-a-business-career,5bef6bc51faec76e89056e67,5c9248207b803f4c3dc1ca69,Wed Mar 20 2019 14:03:12 GMT+0000 (Coordinated Universal Time),Wed Mar 20 2019 14:03:12 GMT+0000 (Coordinated Universal Time),Wed Mar 20 2019 14:03:12 GMT+0000 (Coordinated Universal Time),https://uxdesign.cc/a-ux-career-is-a-business-career-107cd692ea08,There’s this venn diagram that I’m sure you’ve seen many times. It’s in just about every article written about UX design because it does a good job summing up the field at a glance. Here’s a version of it:,https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5c9248207b803fcd73c1ca40_1*NEOJ2-nABdytOxp-pOad7A.png
Accessibility drives aesthetics,accessibility-drives-aesthetics,5bef6bc51faec76e89056e67,5f60f0d22e1d12ac4dfdff6f,Tue Sep 15 2020 16:50:26 GMT+0000 (Coordinated Universal Time),Tue Sep 15 2020 16:50:26 GMT+0000 (Coordinated Universal Time),Tue Sep 15 2020 16:50:26 GMT+0000 (Coordinated Universal Time),https://uxdesign.cc/accessibility-drives-aesthetics-5aef77b5d2aa,"Image descriptions are in the alt text. There’s an article circulating that claims accessibility and aesthetics are at odds with each other, creating a paradox that forces us to compromise. Here’s why I find that belief completely and utterly false:",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5f60f0d217ac4e5508899d9e_1*sNpmDrKK5_VG88WXF4HUbA.png
Content: the design system element you forgot,content-the-design-system-element-you-forgot,5bef6bc51faec76e89056e67,5da48c43f4a9e780b0287847,Mon Oct 14 2019 14:54:59 GMT+0000 (Coordinated Universal Time),Mon Oct 14 2019 14:54:59 GMT+0000 (Coordinated Universal Time),Mon Oct 14 2019 14:54:59 GMT+0000 (Coordinated Universal Time),https://uxdesign.cc/content-the-design-system-element-you-forgot-e36d8c49a042,This was the question my ex-colleague Jonathon Colman raised this question on LinkedIn.,https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5da48c43f4a9e71946287846_1*8Y7zWZFPCEkv8CbktMnI0A.jpeg
Design for Humanity,design-for-humanity,5bef6bc51faec76e89056e67,5bf43f0c4611344777dc73ce,Tue Nov 20 2018 17:06:20 GMT+0000 (Coordinated Universal Time),Wed Nov 21 2018 01:05:14 GMT+0000 (Coordinated Universal Time),Wed Nov 21 2018 18:51:06 GMT+0000 (Coordinated Universal Time),https://medium.com/swlh/the-future-of-design-is-emotional-5789ccde17aa,"In 1950, the American psychologist Harry Harlow conducted an experiment that separated infant monkeys from their mothers just a few hours after birth. Each monkey was isolated in a cage and given two dummy mothers.",https://uploads-ssl.webflow.com/5bef6bc5b7d3e9070e6800b9/5bf43f0c4611340b32dc73cd_1*k8FGDETFUCVTB4Bf5TluYQ.png
